Date,Open,High,Low,Close,
3-January-2022,58310.09,59266.39,58306.45,59183.22,
4-January-2022,59343.79,59937.33,59084.40,59855.93,
5-January-2022,59921.98,60332.72,59661.38,60223.15,
6-January-2022,59731.75,59781.86,59290.58,59601.84,
7-January-2022,59776.10,60130.18,59401.44,59744.65,
10-January-2022,60070.39,60427.36,59987.18,60395.63,
11-January-2022,60342.70,60689.25,60281.52,60616.89,
12-January-2022,61014.37,61218.19,60850.93,61150.04,
13-January-2022,61259.99,61348.57,60949.81,61235.30,
14-January-2022,61040.32,61324.59,60757.03,61223.03,
17-January-2022,61219.64,61385.48,61107.60,61308.91,
18-January-2022,61430.77,61475.15,60662.57,60754.86,
19-January-2022,60845.59,60870.17,59949.22,60098.82,
20-January-2022,60045.48,60045.48,59068.31,59464.62,
21-January-2022,59039.37,59329.63,58620.93,59037.18,
24-January-2022,59023.97,59023.97,56984.01,57491.51,
25-January-2022,57158.63,57966.93,56409.63,57858.15,
27-January-2022,57317.38,57508.61,56439.36,57276.94,
28-January-2022,57795.11,58084.33,57119.28,57200.23,
31-January-2022,57845.91,58257.63,57746.15,58014.17,
1-February-2022,58672.86,59032.20,57737.66,58862.57,
2-February-2022,59293.44,59618.51,59193.05,59558.33,
3-February-2022,59528.16,59557.87,58653.94,58788.02,
4-February-2022,58918.65,58943.62,58446.95,58644.82,
7-February-2022,58549.67,58707.76,57299.05,57621.19,
8-February-2022,57799.67,57925.82,57058.77,57808.58,
9-February-2022,58163.01,58507.61,58105.18,58465.97,
10-February-2022,58810.53,59060.24,58332.28,58926.03,
11-February-2022,58447.15,58447.15,57914.10,58152.92,
14-February-2022,56720.32,57191.91,56295.70,56405.84,
15-February-2022,56731.56,58211.38,56438.47,58142.05,
16-February-2022,58310.68,58569.22,57780.28,57996.68,
17-February-2022,58217.69,58346.00,57635.43,57892.01,
18-February-2022,57488.39,58175.35,57488.39,57832.97,
21-February-2022,57551.65,58141.96,57167.02,57683.59,
22-February-2022,56438.64,57505.85,56394.85,57300.68,
23-February-2022,57632.94,57733.37,57109.24,57232.06,
24-February-2022,55418.45,55996.09,54383.20,54529.91,
25-February-2022,55321.72,56183.70,55299.28,55858.52,
28-February-2022,55329.46,56324.54,54833.50,56247.28,
2-March-2022,55629.30,55755.09,55020.10,55468.90,
3-March-2022,55921.44,55996.62,54931.48,55102.68,
4-March-2022,54653.59,55013.27,53887.72,54333.81,
7-March-2022,53172.51,53203.87,52367.10,52842.75,
8-March-2022,52430.06,53484.26,52260.82,53424.09,
9-March-2022,53793.99,54893.73,53367.52,54647.33,
10-March-2022,56242.47,56242.47,54982.82,55464.39,
11-March-2022,55218.78,55833.95,55049.95,55550.30,
14-March-2022,55614.40,56545.83,55556.47,56486.02,
15-March-2022,56663.87,56720.60,55418.95,55776.85,
16-March-2022,56555.33,56860.89,56389.26,56816.65,
17-March-2022,57620.28,58095.84,57518.06,57863.93,
21-March-2022,58030.41,58127.95,57229.08,57292.49,
22-March-2022,57297.57,58052.87,56930.30,57989.30,
23-March-2022,58198.64,58416.56,57568.59,57684.82,
24-March-2022,57190.05,57827.99,57138.51,57595.68,
25-March-2022,57801.72,57845.37,57100.24,57362.20,
28-March-2022,57472.72,57638.34,56825.09,57593.49,
29-March-2022,57814.76,58001.53,57639.35,57943.65,
30-March-2022,58362.85,58727.78,58176.00,58683.99,
31-March-2022,58779.71,58890.92,58485.79,58568.51,
1-April-2022,58530.73,59396.62,58450.04,59276.69,
4-April-2022,59764.13,60845.10,59760.22,60611.74,
5-April-2022,60786.07,60786.07,60067.18,60176.50,
6-April-2022,59815.71,59941.57,59509.84,59610.41,
7-April-2022,59402.61,59504.92,58977.35,59034.95,
8-April-2022,59256.97,59654.44,58876.36,59447.18,
11-April-2022,59333.18,59355.76,58894.40,58964.57,
12-April-2022,58743.50,58794.78,58298.57,58576.37,
13-April-2022,58910.74,59003.82,58291.23,58338.93,
18-April-2022,57338.58,57420.80,56842.39,57166.74,
19-April-2022,57381.77,57464.08,56009.07,56463.15,
20-April-2022,56741.43,57216.51,56521.33,57037.50,
21-April-2022,57458.60,57991.53,57311.86,57911.68,
22-April-2022,57531.95,57689.86,57134.72,57197.15,
25-April-2022,56757.64,56875.65,56356.87,56579.89,
26-April-2022,57066.24,57442.24,56904.51,57356.61,
27-April-2022,56983.68,57079.03,56584.04,56819.39,
28-April-2022,57296.31,57790.85,56936.94,57521.06,
29-April-2022,57817.51,57975.48,56902.30,57060.87,
2-May-2022,56429.45,57054.23,56412.62,56975.99,
4-May-2022,57124.91,57184.21,55501.60,55669.03,
5-May-2022,56255.07,56566.80,55613.82,55702.23,
6-May-2022,54928.29,55070.12,54586.75,54835.58,
9-May-2022,54188.21,54795.47,53918.02,54470.67,
10-May-2022,54309.31,54857.02,54226.33,54364.85,
11-May-2022,54544.91,54598.55,53519.30,54088.39,
12-May-2022,53608.35,53632.55,52702.30,52930.31,
13-May-2022,53565.74,53785.71,52654.89,52793.62,
16-May-2022,52946.32,53428.28,52632.48,52973.84,
17-May-2022,53285.19,54399.42,53176.02,54318.47,
18-May-2022,54554.89,54786.00,54130.89,54208.53,
19-May-2022,53070.30,53356.04,52669.51,52792.23,
20-May-2022,53513.97,54396.43,53403.29,54326.39,
23-May-2022,54459.95,54931.30,54191.55,54288.61,
24-May-2022,54307.56,54524.37,53886.28,54052.61,
25-May-2022,54254.07,54379.59,53683.16,53749.26,
26-May-2022,53950.84,54346.22,53425.25,54252.53,
27-May-2022,54671.50,54936.63,54449.34,54884.66,
30-May-2022,55507.75,56082.65,55466.30,55925.74,
31-May-2022,55622.01,55925.62,55369.14,55566.41,
1-June-2022,55588.27,55791.49,55091.43,55381.17,
2-June-2022,55382.44,55891.92,55135.11,55818.11,
3-June-2022,56245.60,56432.65,55719.36,55769.23,
6-June-2022,55610.64,55832.28,55295.74,55675.32,
7-June-2022,55373.18,55387.77,54882.41,55107.34,
8-June-2022,55345.51,55423.97,54683.30,54892.49,
9-June-2022,54514.17,55366.84,54507.41,55320.28,
10-June-2022,54760.25,54780.78,54205.99,54303.44,
13-June-2022,53184.61,53207.54,52527.08,52846.70,
14-June-2022,52495.94,53095.32,52459.48,52693.57,
15-June-2022,52650.41,52867.73,52493.36,52541.39,
16-June-2022,53018.91,53142.50,51425.48,51495.79,
17-June-2022,51181.99,51652.83,50921.22,51360.42,
20-June-2022,51470.03,51714.61,51062.93,51597.84,
21-June-2022,51897.60,52799.40,51808.76,52532.07,
22-June-2022,52186.36,52272.85,51739.98,51822.53,
23-June-2022,51972.75,52516.79,51632.85,52265.72,
24-June-2022,52654.24,52909.87,52447.25,52727.98,
27-June-2022,53468.89,53509.50,53120.79,53161.28,
28-June-2022,52846.26,53301.40,52771.53,53177.45,
29-June-2022,52623.15,53244.84,52612.68,53026.97,
30-June-2022,52897.16,53377.54,52883.25,53018.94,
1-July-2022,52863.34,53053.04,52094.25,52907.93,
4-July-2022,52851.67,53301.99,52674.81,53234.77,
5-July-2022,53501.21,53865.93,53054.30,53134.35,
6-July-2022,53170.70,53819.31,53143.28,53750.97,
7-July-2022,54146.68,54254.79,53927.26,54178.46,
8-July-2022,54574.43,54627.14,54278.77,54481.84,
11-July-2022,54248.60,54527.90,54090.53,54395.23,
12-July-2022,54219.78,54236.49,53824.97,53886.61,
13-July-2022,54210.10,54211.22,53455.26,53514.15,
14-July-2022,53688.62,53861.28,53163.77,53416.15,
15-July-2022,53637.88,53811.37,53361.62,53760.78,
18-July-2022,54069.30,54556.66,54034.97,54521.15,
19-July-2022,54251.88,54817.52,54232.82,54767.62,
20-July-2022,55486.12,55630.26,55298.23,55397.53,
21-July-2022,55391.93,55738.49,55270.75,55681.95,
22-July-2022,55800.84,56186.05,55685.45,56072.23,
25-July-2022,55877.50,56018.09,55537.08,55766.22,
26-July-2022,55834.38,55834.38,55203.43,55268.49,
27-July-2022,55258.29,55853.09,55157.99,55816.32,
28-July-2022,56267.55,56914.22,56236.45,56857.79,
29-July-2022,57258.13,57619.27,57104.81,57570.25,
1-August-2022,57823.10,58170.67,57540.36,58115.50,
2-August-2022,58049.02,58328.41,57744.70,58136.36,
3-August-2022,58174.11,58415.63,57788.78,58350.53,
4-August-2022,58571.28,58712.66,57577.05,58298.80,
5-August-2022,58421.04,58649.19,58244.86,58387.93,
8-August-2022,58417.71,58934.90,58266.65,58853.07,
10-August-2022,58977.34,58984.32,58583.36,58817.29,
11-August-2022,59320.45,59484.99,59251.14,59332.60,
12-August-2022,59235.98,59538.08,59113.01,59462.78,
16-August-2022,59675.12,59923.03,59673.96,59842.21,
17-August-2022,59938.05,60323.25,59857.80,60260.13,
18-August-2022,60080.19,60341.41,59946.44,60298.00,
19-August-2022,60351.23,60411.20,59474.57,59646.15,
22-August-2022,59361.08,59402.50,58705.11,58773.87,
23-August-2022,58205.97,59199.11,58172.48,59031.30,
24-August-2022,58853.32,59170.87,58760.09,59085.43,
25-August-2022,59315.98,59484.35,58666.41,58774.72,
26-August-2022,59050.67,59321.65,58722.69,58833.87,
29-August-2022,57367.47,58208.30,57367.47,57972.62,
30-August-2022,58259.85,59599.78,58245.49,59537.07,
1-September-2022,58710.53,59309.79,58522.57,58766.59,
2-September-2022,58969.02,59108.66,58558.64,58803.33,
5-September-2022,58814.08,59308.25,58812.20,59245.98,
6-September-2022,59285.36,59566.67,58974.26,59196.99,
7-September-2022,58789.26,59166.46,58722.89,59028.91,
8-September-2022,59374.99,59711.96,59315.71,59688.22,
9-September-2022,60045.75,60119.80,59634.39,59793.14,
12-September-2022,59912.29,60284.55,59912.29,60115.13,
13-September-2022,60408.29,60635.28,60381.02,60571.08,
14-September-2022,59417.12,60649.04,59417.12,60346.97,
15-September-2022,60454.37,60676.12,59865.75,59934.01,
16-September-2022,59585.72,59720.56,58687.17,58840.79,
19-September-2022,58747.31,59277.55,58487.76,59141.23,
20-September-2022,59556.91,60105.79,59556.91,59719.74,
21-September-2022,59504.14,59799.04,59275.40,59456.78,
22-September-2022,59073.84,59457.58,58832.78,59119.72,
23-September-2022,59005.18,59143.32,57981.95,58098.92,
26-September-2022,57525.03,57708.38,57038.24,57145.22,
27-September-2022,57376.52,57704.57,56950.52,57107.52,
28-September-2022,56710.13,57213.33,56485.67,56598.28,
29-September-2022,56997.90,57166.14,56314.05,56409.96,
30-September-2022,56240.15,57722.63,56147.23,57426.92,
3-October-2022,57403.92,57454.84,56683.40,56788.81,
4-October-2022,57506.65,58099.94,57506.65,58065.47,
6-October-2022,58314.05,58578.76,58173.70,58222.10,
7-October-2022,58092.56,58269.34,57851.15,58191.29,
10-October-2022,57424.07,58125.01,57365.68,57991.11,
11-October-2022,58004.25,58027.52,57050.40,57147.32,
12-October-2022,57312.49,57687.64,57085.92,57625.91,
13-October-2022,57512.74,57568.14,57055.75,57235.33,
14-October-2022,58162.74,58435.12,57848.23,57919.97,
17-October-2022,57752.50,58449.00,57639.80,58410.98,
18-October-2022,58744.13,59143.66,58744.13,58960.60,
19-October-2022,59196.96,59399.69,58961.77,59107.19,
20-October-2022,58824.48,59273.85,58791.28,59202.90,
21-October-2022,59381.36,59590.93,59132.94,59307.15,
24-October-2022,59804.02,59994.25,59776.66,59831.66,
25-October-2022,60002.96,60081.24,59489.02,59543.96,
27-October-2022,59792.32,59959.94,59496.80,59756.84,
28-October-2022,59746.80,60133.17,59739.05,59959.85,
31-October-2022,60246.96,60786.70,60246.96,60746.59,
1-November-2022,61065.58,61289.73,60868.69,61121.35,
2-November-2022,61156.89,61209.65,60794.39,60906.09,
3-November-2022,60511.57,60994.37,60485.14,60836.41,
4-November-2022,60698.27,61004.49,60666.01,60950.36,
7-November-2022,61188.13,61401.54,60714.36,61185.15,
9-November-2022,61304.29,61447.23,60905.15,61033.55,
10-November-2022,60524.27,60848.73,60425.47,60613.70,
11-November-2022,61311.02,61840.97,61311.02,61795.04,
14-November-2022,61765.86,61916.24,61572.03,61624.15,
15-November-2022,61630.05,61955.96,61436.90,61872.99,
16-November-2022,61708.63,62052.57,61708.63,61980.72,
17-November-2022,61812.36,62050.80,61643.27,61750.60,
18-November-2022,61858.20,61929.88,61337.43,61663.48,
21-November-2022,61456.33,61456.33,61059.33,61144.84,
22-November-2022,61126.56,61466.63,61073.68,61418.96,
23-November-2022,61779.71,61780.90,61442.69,61510.58,
24-November-2022,61656.00,62412.33,61600.42,62272.68,
25-November-2022,62327.88,62447.73,62115.66,62293.64,
28-November-2022,62016.35,62701.40,61959.74,62504.80,
29-November-2022,62362.08,62887.40,62362.08,62681.84,
30-November-2022,62743.47,63303.01,62648.38,63099.65,
1-December-2022,63357.99,63583.07,63183.77,63284.19,
2-December-2022,62978.58,63148.59,62679.63,62868.50,
5-December-2022,62865.28,62939.63,62507.88,62834.60,
6-December-2022,62395.55,62677.84,62390.07,62626.36,
7-December-2022,62615.52,62759.97,62316.65,62410.68,
8-December-2022,62504.04,62633.56,62320.18,62570.68,
9-December-2022,62690.86,62735.42,61889.11,62181.67,
12-December-2022,61770.56,62239.42,61676.15,62130.57,
13-December-2022,62300.67,62567.92,62129.57,62533.30,
14-December-2022,62685.94,62835.11,62591.28,62677.91,
15-December-2022,62530.07,62624.81,61715.61,61799.03,
16-December-2022,61534.24,61893.22,61292.53,61337.81,
19-December-2022,61405.80,61844.92,61265.31,61806.19,
20-December-2022,61608.85,61780.37,61102.68,61702.29,
21-December-2022,61993.71,62006.46,60938.38,61067.24,
22-December-2022,61257.17,61464.38,60637.24,60826.22,
23-December-2022,60205.56,60546.88,59765.56,59845.29,
26-December-2022,59755.08,60833.78,59754.10,60566.42,
27-December-2022,60861.41,60986.68,60405.66,60927.43,
28-December-2022,60811.52,61075.33,60713.77,60910.28,
29-December-2022,60628.29,61210.65,60479.06,61133.88,
30-December-2022,61329.16,61392.68,60743.71,60840.74,
